,date,annee_scolaire,jour,semaine,mois,greves,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,fete_musulmane,ramadan,fete_chretienne,fete_juive,inc_grippe,inc_gastro,inc_varicelle,prevision,reel,effectif
0,2011-01-03,2010-2011,Lundi,1,Janvier,0,0,0,0,0,1,0,0,0,0,0,10505,6554,551,12289,11129,17373
1,2011-01-04,2010-2011,Mardi,1,Janvier,0,0,0,0,0,0,0,0,0,0,0,10505,6554,551,12558,11808,17373
2,2011-01-06,2010-2011,Jeudi,1,Janvier,0,0,0,0,0,0,0,0,0,1,0,10505,6554,551,12753,11741,17373
3,2011-01-07,2010-2011,Vendredi,1,Janvier,0,0,0,0,0,0,0,0,0,1,0,10505,6554,551,12812,12322,17373
4,2011-01-10,2010-2011,Lundi,2,Janvier,0,0,0,0,0,0,0,0,0,0,0,7200,6453,493,12309,11302,17373
5,2011-01-11,2010-2011,Mardi,2,Janvier,0,0,0,0,0,0,0,0,0,0,0,7200,6453,493,12576,11909,17373
6,2011-01-13,2010-2011,Jeudi,2,Janvier,0,0,0,0,0,0,0,0,0,0,0,7200,6453,493,12628,12007,17373
7,2011-01-14,2010-2011,Vendredi,2,Janvier,0,0,0,0,0,0,0,0,0,0,0,7200,6453,493,12865,11991,17373
8,2011-01-17,2010-2011,Lundi,3,Janvier,0,0,0,0,0,0,0,0,0,0,0,2880,5745,702,12291,11508,17373
9,2011-01-18,2010-2011,Mardi,3,Janvier,0,0,0,0,0,0,0,0,0,1,0,2880,5745,702,12638,12022,17373
10,2011-01-20,2010-2011,Jeudi,3,Janvier,0,0,0,0,0,0,0,0,0,0,0,2880,5745,702,12642,11947,17373
11,2011-01-21,2010-2011,Vendredi,3,Janvier,0,0,0,0,0,0,0,0,0,0,0,2880,5745,702,12746,12135,17373
12,2011-01-24,2010-2011,Lundi,4,Janvier,0,0,0,0,0,0,0,0,0,0,0,9182,5718,415,12271,11582,17373
13,2011-01-25,2010-2011,Mardi,4,Janvier,0,0,0,0,0,0,0,0,0,0,0,9182,5718,415,12585,11994,17373
14,2011-01-27,2010-2011,Jeudi,4,Janvier,0,0,0,0,0,0,0,0,0,0,0,9182,5718,415,12473,11863,17373
15,2011-01-28,2010-2011,Vendredi,4,Janvier,0,0,0,0,0,0,0,0,0,0,0,9182,5718,415,12767,12029,17373
16,2011-01-31,2010-2011,Lundi,5,Janvier,0,0,0,0,0,0,0,0,0,0,0,7451,5713,317,12185,11318,17373
17,2011-02-01,2010-2011,Mardi,5,Fevrier,0,0,0,0,0,0,0,0,0,0,0,7451,5713,317,12605,11727,17373
18,2011-02-03,2010-2011,Jeudi,5,Fevrier,0,0,0,0,0,0,0,0,0,0,0,7451,5713,317,12687,11779,17373
19,2011-02-04,2010-2011,Vendredi,5,Fevrier,0,0,0,0,0,0,0,0,0,0,0,7451,5713,317,12744,11966,17373
20,2011-02-07,2010-2011,Lundi,6,Fevrier,0,0,0,0,0,0,0,0,0,0,0,3661,5813,350,12268,11447,17373
21,2011-02-08,2010-2011,Mardi,6,Fevrier,0,0,0,0,0,0,0,0,0,0,0,3661,5813,350,12515,11945,17373
22,2011-02-10,2010-2011,Jeudi,6,Fevrier,0,0,0,0,0,0,0,0,0,0,0,3661,5813,350,9750,6991,17373
23,2011-02-11,2010-2011,Vendredi,6,Fevrier,0,0,0,0,0,0,0,0,0,0,0,3661,5813,350,12842,12225,17373
24,2011-02-14,2010-2011,Lundi,7,Fevrier,0,0,0,0,0,0,0,0,0,0,0,1267,3449,845,12211,11617,17373
25,2011-02-15,2010-2011,Mardi,7,Fevrier,0,0,0,0,0,0,0,1,0,0,0,1267,3449,845,12503,11979,17373
26,2011-02-17,2010-2011,Jeudi,7,Fevrier,0,0,0,0,0,0,0,0,0,0,0,1267,3449,845,12583,11963,17373
27,2011-02-18,2010-2011,Vendredi,7,Fevrier,0,0,0,0,0,0,0,0,0,0,0,1267,3449,845,12783,12271,17373
28,2011-02-21,2010-2011,Lundi,8,Fevrier,0,0,0,0,0,0,0,0,0,0,0,373,3238,107,11990,11500,17373
29,2011-02-22,2010-2011,Mardi,8,Fevrier,0,0,0,0,0,0,0,0,0,0,0,373,3238,107,12604,12199,17373
30,2011-02-24,2010-2011,Jeudi,8,Fevrier,0,0,0,0,0,0,0,0,0,0,0,373,3238,107,10625,11916,17373
31,2011-02-25,2010-2011,Vendredi,8,Fevrier,0,0,0,0,0,0,1,0,0,0,0,373,3238,107,12592,12004,17373
32,2011-03-14,2010-2011,Lundi,11,Mars,0,0,0,0,0,1,0,0,0,0,0,479,3713,0,12226,11715,17373
33,2011-03-15,2010-2011,Mardi,11,Mars,0,0,0,0,0,0,0,0,0,0,0,479,3713,0,12497,12110,17373
34,2011-03-17,2010-2011,Jeudi,11,Mars,0,0,0,0,0,0,0,0,0,0,0,479,3713,0,12521,12293,17373
35,2011-03-18,2010-2011,Vendredi,11,Mars,0,0,0,0,0,0,0,0,0,0,0,479,3713,0,12857,12685,17373
36,2011-03-21,2010-2011,Lundi,12,Mars,0,0,0,0,0,0,0,0,0,0,0,142,2843,0,12222,11883,17373
37,2011-03-22,2010-2011,Mardi,12,Mars,0,0,0,0,0,0,0,0,0,0,0,142,2843,0,12453,12278,17373
38,2011-03-24,2010-2011,Jeudi,12,Mars,0,0,0,0,0,0,0,0,0,0,0,142,2843,0,12623,12557,17373
39,2011-03-25,2010-2011,Vendredi,12,Mars,0,0,0,0,0,0,0,0,0,1,0,142,2843,0,12795,12511,17373
40,2011-03-28,2010-2011,Lundi,13,Mars,1,0,0,0,0,0,0,0,0,0,0,44,1479,249,12264,11469,17373
41,2011-03-29,2010-2011,Mardi,13,Mars,0,0,0,0,0,0,0,0,0,0,0,44,1479,249,12640,12187,17373
42,2011-03-31,2010-2011,Jeudi,13,Mars,0,0,0,0,0,0,0,0,0,0,0,44,1479,249,12650,12349,17373
43,2011-04-01,2010-2011,Vendredi,13,Avril,0,0,0,0,0,0,0,0,0,0,0,44,1479,249,12727,12467,17373
44,2011-04-04,2010-2011,Lundi,14,Avril,0,0,0,0,0,0,0,0,0,0,0,267,933,62,12233,11679,17373
45,2011-04-05,2010-2011,Mardi,14,Avril,0,0,0,0,0,0,0,0,0,0,0,267,933,62,12546,12280,17373
46,2011-04-07,2010-2011,Jeudi,14,Avril,0,0,0,0,0,0,0,0,0,1,0,267,933,62,12419,11997,17373
47,2011-04-08,2010-2011,Vendredi,14,Avril,0,0,0,0,0,0,0,0,0,0,0,267,933,62,12706,12232,17373
48,2011-04-11,2010-2011,Lundi,15,Avril,0,0,0,0,0,0,0,0,0,0,0,0,1686,0,12383,11819,17373
49,2011-04-12,2010-2011,Mardi,15,Avril,0,0,0,0,0,0,0,0,0,0,0,0,1686,0,12649,12334,17373
