,date,menu,porc,viande,poisson,bio,noel,frites,an_chinois
0,2011-01-03,"['Pamplemousse', 'Hachis Parmentier', 'Salade verte', 'Flan caramel']",0,1,0,0,0,0,0
1,2011-01-04,"['Crêpe au fromage', 'emincé de volaille à la forestière', 'haricots beurre / haricots plats', 'St paulin', 'ananas']",0,1,0,0,0,0,0
2,2011-01-06,"['thon', 'Mâche au thon', 'Croziflette', 'des de canard', 'des de volaille', 'Yaourt brasse bio']",1,1,0,1,0,0,0
3,2011-01-07,"['Choux blancs mimolette', 'milanette en des', 'filet surgele printaniere', 'carottes persillées', 'Galette des rois', 'Lait fermier']",0,0,1,0,0,0,0
4,2011-01-10,"['Endives / demi-\x9cuf', 'paella de la mer', 'Fromage blanc', 'et abricots secs']",0,0,1,0,0,0,0
5,2011-01-11,"['Taboulé', 'sauté de b\x9cuf Bourguignon', 'haricots verts', 'Tomme bio', 'Clémentines']",0,1,0,1,0,0,0
6,2011-01-13,"['carottes râpées bio', 'rôti de dinde', 'jus de veau', 'purée de p  de terre', 'Yaourt Fruix']",0,1,0,1,0,0,0
7,2011-01-14,"['Pizza au fromage', 'citron', 'poisson pané', 'épinards à la crème', 'Edam', 'Pomme']",0,0,1,0,0,0,0
8,2011-01-17,"['Mâche au surimi', 'pâte', 'sauce bolognaise', 'gruyère râpée', 'Crème dessert vanille']",0,1,0,0,0,0,0
9,2011-01-18,"['Choux rouges', 'Sauté de porc Forestière', 'sauté de dinde  forestière', 'batonnière de légumes', 'Beignet chocolat', 'Lait fermier']",1,1,0,0,0,0,0
10,2011-01-20,"['Potage tomate / vermicelle', 'cordon bleu de volaille', ""petits pois  à l'anglaise"", 'Camembert', 'Banane']",1,1,0,0,0,0,0
11,2011-01-21,"['Concombres vgte', 'Poisson', 'beurre blanc', 'riz pilaf', 'Gervais aux fruits']",0,0,1,0,0,0,0
12,2011-01-24,"['Potage carottes', 'Poisson meunière', 'Courgettes à la tomate', 'Gouda', 'Ananas']",0,0,1,0,0,0,0
13,2011-01-25,"['pamplemousse', 'sauté de veau Marengo', 'Frites', 'Yaourt aromatisé']",0,1,0,0,0,1,0
14,2011-01-27,"['salade de pâtes aux tomates confites', 'cuisse de poulet rôti au jus', 'poulet fermier', 'Choux fleurs béchamel agro', 'Tomme blanche', 'Pomme']",0,1,0,0,0,0,0
15,2011-01-28,"['salade verte au thon', 'Omelette', 'Riz à la forestière', 'Crème dessert chocolat']",0,0,1,0,0,0,0
16,2011-01-31,"['betteraves cubes', 'lasagnes bolo', 'salade verte', 'Flan caramel']",0,1,0,0,0,0,0
17,2011-02-01,"['Potage légumes', 'Jambon fumé', 'jambon de dinde agro', 'carottes crème', 'Champanet', 'Clémentines']",1,1,0,0,0,0,0
18,2011-02-03,"['nouvel an chinois', 'salade', ""nem's de volaille"", 'Emincé de dinde au caramel', 'poelée asiatique', 'salade de fruit exotique', 'et litchis']",0,1,0,0,0,0,1
19,2011-02-04,"['Choux à la mimolette', 'calamar armoricaine', 'Pommes de terre sautées agro', 'Kiwi']",0,0,1,0,0,0,0
20,2011-02-07,"['Tarte au fromage', 'poulet confit', 'Haricots verts', 'Pomme']",0,1,0,0,0,0,0
21,2011-02-08,"['Concombres vgte', 'Toulouse grillée', 'saucisse de volaille', 'haricots blanc à la tomate', 'blanc à la neige', 'crème anglaise']",1,1,0,0,0,0,0
22,2011-02-10,"['Carottes râpées', 'C\x9cur de boeuf à la dijonnaise', 'Pomme noisettes', 'Suisses aro']",0,1,0,0,0,0,0
23,2011-02-11,"['salade de pomme de terre', 'tomate / concombre', 'poisson meunière', 'Brocolis beurre Provençal', 'St Bricet', 'Mirabelles au sirop']",0,0,1,0,0,0,0
24,2011-02-14,"['Salade coleslaw', 'Blanquette de veau', 'pomme vapeur', 'Yaourt aromatisé']",0,1,0,0,0,0,0
25,2011-02-15,"['salade de mâche à la mimolette', 'rôti de porc et  dinde', 'Petits pois', 'crêpes', 'confiture']",1,1,0,0,0,0,0
26,2011-02-17,"['Potage tomate/vermicelle', 'cordon bleu de volaille', 'Haricots beurre et plats', 'st paulin', 'Banane']",1,1,0,0,0,0,0
27,2011-02-18,"['Salade de lentilles', 'Lentilles, tomates, maïs', 'filet de lieu  au beurre blanc', 'Carottes', 'Crème de gruyère', 'Kiwi']",0,0,1,0,0,0,0
28,2011-02-21,"['Endives aux pommes', 'sauté de boeuf AUX POIVRES', 'Pâtes', 'Liégeois']",0,1,0,0,0,0,0
29,2011-02-22,"['taboulé', 'poisson pané/citron', 'choux fleurs agro', 'Tomme bio', 'Clémentines']",0,0,1,1,0,0,0
